at,alive,spares,subscriptions,awaiting_activation,in_flight,shortfall,pending_replacements,cash_usd
2021-03-21T00:00:00,2,0,10,0,10,9,9,624.0
2021-03-22T00:00:00,2,0,10,0,10,9,9,624.0
2021-03-23T00:00:00,2,0,9,0,9,9,9,624.0
2021-03-24T00:00:00,2,0,9,0,9,9,9,591.0
2021-03-25T00:00:00,2,0,9,0,9,9,9,558.0
2021-03-26T00:00:00,2,0,9,0,9,9,9,525.0
2021-03-27T00:00:00,3,0,8,0,8,8,8,367.0
2021-03-28T00:00:00,3,0,8,0,8,8,8,334.0
2021-03-29T00:00:00,3,0,8,0,8,8,8,334.0
2021-03-30T00:00:00,3,0,8,0,8,8,8,334.0
2021-03-31T00:00:00,3,0,8,0,8,8,8,334.0
2021-04-01T00:00:00,3,0,9,0,9,9,8,468.0
2021-04-02T00:00:00,3,0,9,0,9,9,8,435.0
2021-04-03T00:00:00,3,0,9,0,9,9,8,402.0
2021-04-04T00:00:00,3,0,9,0,9,9,8,402.0
2021-04-05T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-06T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-07T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-08T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-09T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-10T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-11T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-12T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-13T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-14T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-15T00:00:00,3,0,9,0,9,9,8,369.0
2021-04-16T00:00:00,5,0,6,1,7,6,6,119.0
2021-04-17T00:00:00,5,0,6,1,7,6,6,119.0
2021-04-18T00:00:00,5,0,6,1,7,6,6,119.0
2021-04-19T00:00:00,5,0,6,1,7,6,6,119.0
2021-04-20T00:00:00,5,0,4,3,7,6,6,119.0
2021-04-21T00:00:00,5,0,4,3,7,6,6,119.0
2021-04-22T00:00:00,5,0,4,3,7,6,6,119.0
2021-04-23T00:00:00,5,0,4,3,7,6,6,119.0
2021-04-24T00:00:00,5,0,3,3,6,6,6,119.0
2021-04-25T00:00:00,5,0,3,3,6,6,6,119.0
2021-04-26T00:00:00,5,0,3,3,6,6,6,86.0
2021-04-27T00:00:00,5,0,3,3,6,6,6,53.0
2021-04-28T00:00:00,5,0,3,3,6,6,6,20.0
2021-04-29T00:00:00,5,0,3,3,6,6,6,20.0
2021-04-30T00:00:00,5,0,3,3,6,6,6,20.0
2021-05-01T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-02T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-03T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-04T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-05T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-06T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-07T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-08T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-09T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-10T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-11T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-12T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-13T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-14T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-15T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-16T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-17T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-18T00:00:00,6,0,3,2,5,5,5,95.0
2021-05-19T00:00:00,1,0,4,2,6,10,10,62.0
2021-05-20T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-21T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-22T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-23T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-24T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-25T00:00:00,1,0,5,2,7,10,10,29.0
2021-05-26T00:00:00,1,0,4,2,6,10,10,29.0
2021-05-27T00:00:00,1,0,3,2,5,10,10,29.0
2021-05-28T00:00:00,1,0,2,2,4,10,10,29.0
2021-05-29T00:00:00,1,0,2,2,4,10,10,29.0
2021-05-30T00:00:00,1,0,2,2,4,10,10,29.0
2021-05-31T00:00:00,1,0,2,2,4,10,10,29.0
2021-06-01T00:00:00,2,0,3,1,4,9,9,71.0
2021-06-02T00:00:00,2,0,4,1,5,9,9,38.0
2021-06-03T00:00:00,2,0,5,1,6,9,9,5.0
2021-06-04T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-05T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-06T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-07T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-08T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-09T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-10T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-11T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-12T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-13T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-14T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-15T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-16T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-17T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-18T00:00:00,1,0,5,1,6,10,10,5.0
2021-06-19T00:00:00,1,0,4,1,5,10,10,5.0
2021-06-20T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-21T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-22T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-23T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-24T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-25T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-26T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-27T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-28T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-29T00:00:00,1,0,3,1,4,10,10,5.0
2021-06-30T00:00:00,1,0,3,1,4,10,10,5.0
2021-07-01T00:00:00,2,0,4,0,4,9,9,14.0
2021-07-02T00:00:00,2,0,3,0,3,9,9,14.0
2021-07-03T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-04T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-05T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-06T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-07T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-08T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-09T00:00:00,2,0,2,0,2,9,9,14.0
2021-07-10T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-11T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-12T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-13T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-14T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-15T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-16T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-17T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-18T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-19T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-20T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-21T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-22T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-23T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-24T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-25T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-26T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-27T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-28T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-29T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-30T00:00:00,2,0,0,2,2,9,9,14.0
2021-07-31T00:00:00,2,0,0,2,2,9,9,14.0
2021-08-01T00:00:00,3,0,1,1,2,8,8,56.0
2021-08-02T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-03T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-04T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-05T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-06T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-07T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-08T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-09T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-10T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-11T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-12T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-13T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-14T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-15T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-16T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-17T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-18T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-19T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-20T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-21T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-22T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-23T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-24T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-25T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-26T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-27T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-28T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-29T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-30T00:00:00,3,0,2,1,3,8,8,23.0
2021-08-31T00:00:00,3,0,2,1,3,8,8,23.0
2021-09-01T00:00:00,4,0,3,0,3,7,7,32.0
2021-09-02T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-03T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-04T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-05T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-06T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-07T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-08T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-09T00:00:00,4,0,2,0,2,7,7,32.0
2021-09-10T00:00:00,4,0,1,1,2,7,7,32.0
2021-09-11T00:00:00,4,0,1,1,2,7,7,32.0
2021-09-12T00:00:00,4,0,1,1,2,7,7,32.0
2021-09-13T00:00:00,4,0,1,1,2,7,7,32.0
2021-09-14T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-15T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-16T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-17T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-18T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-19T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-20T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-21T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-22T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-23T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-24T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-25T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-26T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-27T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-28T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-29T00:00:00,4,0,0,2,2,7,7,32.0
2021-09-30T00:00:00,4,0,0,2,2,7,7,32.0
2021-10-01T00:00:00,5,0,1,1,2,6,6,74.0
2021-10-02T00:00:00,5,0,2,1,3,6,6,41.0
2021-10-03T00:00:00,5,0,3,1,4,6,6,8.0
2021-10-04T00:00:00,5,0,3,1,4,6,6,8.0
2021-10-05T00:00:00,5,0,3,1,4,6,6,8.0
2021-10-06T00:00:00,5,0,3,1,4,6,6,8.0
2021-10-07T00:00:00,5,0,3,1,4,6,6,8.0
2021-10-08T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-09T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-10T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-11T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-12T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-13T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-14T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-15T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-16T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-17T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-18T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-19T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-20T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-21T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-22T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-23T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-24T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-25T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-26T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-27T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-28T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-29T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-30T00:00:00,5,0,0,4,4,6,6,8.0
2021-10-31T00:00:00,5,0,0,4,4,6,6,8.0
2021-11-01T00:00:00,9,0,1,0,1,2,2,1675.0
2021-11-02T00:00:00,9,0,2,0,2,2,2,1642.0
2021-11-03T00:00:00,9,0,2,0,2,2,2,1642.0
2021-11-04T00:00:00,9,0,2,0,2,2,2,1642.0
2021-11-05T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-06T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-07T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-08T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-09T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-10T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-11T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-12T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-13T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-14T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-15T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-16T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-17T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-18T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-19T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-20T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-21T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-22T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-23T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-24T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-25T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-26T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-27T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-28T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-29T00:00:00,11,0,0,0,0,0,0,1392.0
2021-11-30T00:00:00,11,0,0,0,0,0,0,1392.0
2021-12-01T00:00:00,11,0,1,0,1,1,0,2059.0
2021-12-02T00:00:00,11,0,1,0,1,1,0,2059.0
2021-12-03T00:00:00,11,0,1,0,1,1,0,2059.0
2021-12-04T00:00:00,5,0,2,0,2,7,6,2026.0
2021-12-05T00:00:00,5,0,3,0,3,7,6,1993.0
2021-12-06T00:00:00,5,0,4,0,4,7,6,1960.0
2021-12-07T00:00:00,5,0,5,0,5,7,6,1927.0
2021-12-08T00:00:00,5,0,6,0,6,7,6,1894.0
2021-12-09T00:00:00,5,0,7,0,7,7,6,1861.0
2021-12-10T00:00:00,5,0,7,0,7,7,6,1861.0
2021-12-11T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-12T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-13T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-14T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-15T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-16T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-17T00:00:00,9,0,3,0,3,2,2,1361.0
2021-12-18T00:00:00,8,0,3,0,3,3,3,1361.0
2021-12-19T00:00:00,8,0,3,0,3,3,3,1361.0
2021-12-20T00:00:00,8,0,3,0,3,3,3,1361.0
2021-12-21T00:00:00,5,0,4,0,4,6,6,1328.0
2021-12-22T00:00:00,5,0,5,0,5,6,6,1295.0
2021-12-23T00:00:00,5,0,6,0,6,6,6,1262.0
2021-12-24T00:00:00,6,0,5,0,5,5,5,1137.0
2021-12-25T00:00:00,6,0,5,0,5,5,5,1137.0
2021-12-26T00:00:00,6,0,5,0,5,5,5,1137.0
2021-12-27T00:00:00,6,0,5,0,5,5,5,1137.0
2021-12-28T00:00:00,7,0,4,0,4,4,4,1012.0
2021-12-29T00:00:00,7,0,4,0,4,4,4,1012.0
2021-12-30T00:00:00,7,0,4,0,4,4,4,1012.0
2021-12-31T00:00:00,7,0,4,0,4,4,4,1012.0
2022-01-01T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-02T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-03T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-04T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-05T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-06T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-07T00:00:00,7,0,5,0,5,5,4,1146.0
2022-01-08T00:00:00,2,0,6,0,6,10,9,1080.0
2022-01-09T00:00:00,2,0,7,0,7,10,9,1014.0
2022-01-10T00:00:00,2,0,8,0,8,10,9,981.0
2022-01-11T00:00:00,0,0,9,0,9,12,11,948.0
2022-01-12T00:00:00,5,0,5,0,5,6,6,290.0
2022-01-13T00:00:00,5,0,6,0,6,6,6,257.0
2022-01-14T00:00:00,5,0,6,0,6,6,6,257.0
2022-01-15T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-16T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-17T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-18T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-19T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-20T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-21T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-22T00:00:00,6,0,5,0,5,5,5,132.0
2022-01-23T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-24T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-25T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-26T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-27T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-28T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-29T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-30T00:00:00,6,0,5,0,5,5,5,99.0
2022-01-31T00:00:00,6,0,5,0,5,5,5,99.0
2022-02-01T00:00:00,6,0,6,0,6,6,5,200.0
2022-02-02T00:00:00,6,0,6,0,6,6,5,200.0
2022-02-03T00:00:00,6,0,6,0,6,6,5,200.0
2022-02-04T00:00:00,6,0,6,0,6,6,5,200.0
2022-02-05T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-06T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-07T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-08T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-09T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-10T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-11T00:00:00,7,0,3,2,5,4,4,75.0
2022-02-12T00:00:00,7,0,2,2,4,4,4,75.0
2022-02-13T00:00:00,7,0,2,2,4,4,4,42.0
2022-02-14T00:00:00,7,0,2,2,4,4,4,42.0
2022-02-15T00:00:00,7,0,2,2,4,4,4,42.0
2022-02-16T00:00:00,7,0,2,2,4,4,4,42.0
2022-02-17T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-18T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-19T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-20T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-21T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-22T00:00:00,7,0,1,3,4,4,4,42.0
2022-02-23T00:00:00,7,0,1,3,4,4,4,9.0
2022-02-24T00:00:00,7,0,1,3,4,4,4,9.0
2022-02-25T00:00:00,7,0,1,3,4,4,4,9.0
2022-02-26T00:00:00,7,0,1,3,4,4,4,9.0
2022-02-27T00:00:00,7,0,1,3,4,4,4,9.0
2022-02-28T00:00:00,7,0,1,3,4,4,4,9.0
2022-03-01T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-02T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-03T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-04T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-05T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-06T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-07T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-08T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-09T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-10T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-11T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-12T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-13T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-14T00:00:00,10,0,1,0,1,1,1,2834.0
2022-03-15T00:00:00,7,0,2,0,2,4,4,2801.0
2022-03-16T00:00:00,7,0,3,0,3,4,4,2768.0
2022-03-17T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-18T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-19T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-20T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-21T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-22T00:00:00,7,0,4,0,4,4,4,2735.0
2022-03-23T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-24T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-25T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-26T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-27T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-28T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-29T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-30T00:00:00,8,0,3,0,3,3,3,2577.0
2022-03-31T00:00:00,8,0,3,0,3,3,3,2577.0
2022-04-01T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-02T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-03T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-04T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-05T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-06T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-07T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-08T00:00:00,8,0,4,0,4,4,3,5244.0
2022-04-09T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-10T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-11T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-12T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-13T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-14T00:00:00,9,0,3,0,3,2,2,5119.0
2022-04-15T00:00:00,9,0,2,0,2,2,2,5119.0
2022-04-16T00:00:00,9,0,2,0,2,2,2,5086.0
2022-04-17T00:00:00,9,0,2,0,2,2,2,5086.0
2022-04-18T00:00:00,9,0,2,0,2,2,2,5086.0
2022-04-19T00:00:00,9,0,2,0,2,2,2,5086.0
2022-04-20T00:00:00,10,0,1,0,1,1,1,4961.0
2022-04-21T00:00:00,10,0,1,0,1,1,1,4961.0
2022-04-22T00:00:00,10,0,1,0,1,1,1,4961.0
2022-04-23T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-24T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-25T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-26T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-27T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-28T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-29T00:00:00,10,0,1,0,1,1,1,4928.0
2022-04-30T00:00:00,10,0,1,0,1,1,1,4928.0
2022-05-01T00:00:00,10,0,2,0,2,2,1,8095.0
2022-05-02T00:00:00,10,0,2,0,2,2,1,8095.0
2022-05-03T00:00:00,7,0,3,0,3,5,4,8062.0
2022-05-04T00:00:00,7,0,4,0,4,5,4,8029.0
2022-05-05T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-06T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-07T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-08T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-09T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-10T00:00:00,9,0,2,0,2,2,2,7779.0
2022-05-11T00:00:00,2,0,3,0,3,9,9,7746.0
2022-05-12T00:00:00,1,0,4,0,4,10,10,7713.0
2022-05-13T00:00:00,0,0,5,0,5,11,11,7680.0
2022-05-14T00:00:00,1,0,5,0,5,10,10,7522.0
2022-05-15T00:00:00,1,0,6,0,6,10,10,7489.0
2022-05-16T00:00:00,1,0,7,0,7,10,10,7456.0
2022-05-17T00:00:00,1,0,8,0,8,10,10,7423.0
2022-05-18T00:00:00,1,0,9,0,9,10,10,7390.0
2022-05-19T00:00:00,1,0,10,0,10,10,10,7357.0
2022-05-20T00:00:00,1,0,10,0,10,10,10,7357.0
2022-05-21T00:00:00,1,0,10,0,10,10,10,7357.0
2022-05-22T00:00:00,1,0,10,0,10,10,10,7357.0
2022-05-23T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-24T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-25T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-26T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-27T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-28T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-29T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-30T00:00:00,1,0,10,0,10,10,10,7324.0
2022-05-31T00:00:00,1,0,10,0,10,10,10,7324.0
2022-06-01T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-02T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-03T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-04T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-05T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-06T00:00:00,1,0,11,0,11,11,10,7458.0
2022-06-07T00:00:00,1,0,11,0,11,11,10,7458.0
