episode,months,budget,gap,start,end,rr_count,rrs,events,cases
3m_b1500_g40_e08,3,1500,40,2024-05-01T13:44:40,2024-05-01T22:00:00,2,2.75/3.00,2,3m_2024-04-01
3m_b1500_g40_e09,3,1500,40,2024-07-25T11:52:40,2024-08-02T23:30:00,12,0.50/0.75/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,3m_2024-07-01
3m_b1500_g40_e10,3,1500,40,2025-04-04T18:01:40,2025-04-07T04:30:00,13,0.50/0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,13,3m_2025-04-01
3m_b1500_g40_e11,3,1500,40,2026-03-05T14:21:40,2026-03-26T16:39:40,12,0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,3m_2026-01-01
6m_b1500_g5_e01,6,1500,5,2020-03-12T12:58:40,2020-03-18T19:28:40,8,1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50,8,6m_2020-01-01
6m_b1500_g5_e02,6,1500,5,2021-03-04T21:44:40,2021-03-08T18:50:40,3,0.75/1.00/1.25,3,6m_2021-01-01
6m_b1500_g5_e03,6,1500,5,2021-05-18T22:31:40,2021-05-18T22:53:40,1,0.50,1,6m_2021-01-01
6m_b1500_g5_e04,6,1500,5,2022-01-10T18:11:40,2022-01-10T23:00:00,4,2.50/2.75/3.25/3.50,4,6m_2022-01-01
6m_b1500_g5_e05,6,1500,5,2022-06-17T16:31:40,2022-06-17T17:33:40,2,1.25/2.25,2,6m_2022-01-01
6m_b1500_g5_e06,6,1500,5,2023-10-26T20:03:40,2023-11-01T16:30:00,3,0.50/0.75/3.50,3,6m_2023-07-01
6m_b1500_g5_e07,6,1500,5,2023-12-01T17:01:40,2023-12-01T17:26:40,1,1.50,1,6m_2023-07-01
6m_b1500_g5_e08,6,1500,5,2024-07-25T11:52:40,2024-08-02T23:30:00,12,0.50/0.75/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2024-07-01
6m_b1500_g5_e09,6,1500,5,2025-04-04T22:11:40,2025-04-07T18:00:00,2,3.25/3.50,2,6m_2025-01-01
6m_b1500_g5_e10,6,1500,5,2026-03-05T14:21:40,2026-03-26T16:39:40,12,0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2026-01-01
6m_b1500_g20_e01,6,1500,20,2020-03-12T12:58:40,2020-03-18T19:28:40,8,1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50,8,6m_2020-01-01
6m_b1500_g20_e02,6,1500,20,2021-03-04T21:44:40,2021-03-08T18:50:40,3,0.75/1.00/1.25,3,6m_2021-01-01
6m_b1500_g20_e03,6,1500,20,2021-05-18T22:31:40,2021-05-18T22:53:40,1,0.50,1,6m_2021-01-01
6m_b1500_g20_e04,6,1500,20,2022-01-10T18:11:40,2022-01-10T23:00:00,4,2.50/2.75/3.25/3.50,4,6m_2022-01-01
6m_b1500_g20_e05,6,1500,20,2022-06-17T16:31:40,2022-06-17T17:33:40,2,1.25/2.25,2,6m_2022-01-01
6m_b1500_g20_e06,6,1500,20,2023-10-26T20:03:40,2023-11-01T16:30:00,3,0.50/0.75/3.50,3,6m_2023-07-01
6m_b1500_g20_e07,6,1500,20,2023-12-01T17:01:40,2023-12-01T17:26:40,1,1.50,1,6m_2023-07-01
6m_b1500_g20_e08,6,1500,20,2024-07-25T11:52:40,2024-08-02T23:30:00,12,0.50/0.75/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2024-07-01
6m_b1500_g20_e09,6,1500,20,2025-04-04T22:11:40,2025-04-07T18:00:00,2,3.25/3.50,2,6m_2025-01-01
6m_b1500_g20_e10,6,1500,20,2026-03-05T14:21:40,2026-03-26T16:39:40,12,0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2026-01-01
6m_b1500_g40_e01,6,1500,40,2020-03-12T12:58:40,2020-03-18T19:28:40,8,1.00/1.25/1.50/2.50/2.75/3.00/3.25/3.50,8,6m_2020-01-01
6m_b1500_g40_e02,6,1500,40,2021-03-04T21:44:40,2021-03-08T18:50:40,3,0.75/1.00/1.25,3,6m_2021-01-01
6m_b1500_g40_e03,6,1500,40,2021-05-18T22:31:40,2021-05-18T22:53:40,1,0.50,1,6m_2021-01-01
6m_b1500_g40_e04,6,1500,40,2022-01-10T18:11:40,2022-01-10T23:00:00,4,2.50/2.75/3.25/3.50,4,6m_2022-01-01
6m_b1500_g40_e05,6,1500,40,2022-06-17T16:31:40,2022-06-17T17:33:40,2,1.25/2.25,2,6m_2022-01-01
6m_b1500_g40_e06,6,1500,40,2023-10-26T20:03:40,2023-12-01T17:26:40,4,0.50/0.75/1.50/3.50,4,6m_2023-07-01
6m_b1500_g40_e07,6,1500,40,2024-07-25T11:52:40,2024-08-02T23:30:00,12,0.50/0.75/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2024-07-01
6m_b1500_g40_e08,6,1500,40,2025-04-04T22:11:40,2025-04-07T18:00:00,2,3.25/3.50,2,6m_2025-01-01
6m_b1500_g40_e09,6,1500,40,2026-03-05T14:21:40,2026-03-26T16:39:40,12,0.75/1.00/1.25/1.50/1.75/2.00/2.25/2.50/2.75/3.00/3.25/3.50,12,6m_2026-01-01
