cohort,kind,start,portfolio,budget,method,fraction_breached,max_same_signal_fraction,recorded_death_dates,max_recorded_1d_fraction,possible_1d_fraction,max_recorded_5d_fraction,possible_5d_fraction,max_recorded_20d_fraction,possible_20d_fraction
full_2024-01-01,full,2024-01-01,wide4,1500,closed_peak_dd,1.0,0.75,2,0.75,0.75,0.75,0.75,0.75,0.75
full_2024-01-01,full,2024-01-01,wide4,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,wide4,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,wide4,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,center4,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,center4,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,center4,1500,closed_peak_dd,1.0,0.25,3,0.5,0.5,0.5,0.5,0.5,0.5
full_2024-01-01,full,2024-01-01,center4,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,center4,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,center4,6800,closed_peak_dd,0.25,0.25,1,0.25,0.25,0.25,0.25,0.25,0.25
full_2024-01-01,full,2024-01-01,edge4,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,edge4,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,edge4,1500,closed_peak_dd,1.0,0.75,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2024-01-01,full,2024-01-01,edge4,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,edge4,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,edge4,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,without050,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,without050,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,without050,1500,closed_peak_dd,1.0,0.75,2,0.75,0.75,0.75,0.75,0.75,0.75
full_2024-01-01,full,2024-01-01,without050,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,without050,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,without050,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,grid5,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,grid5,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,grid5,1500,closed_peak_dd,1.0,0.6,3,0.6,0.6,0.8,0.8,0.8,0.8
full_2024-01-01,full,2024-01-01,grid5,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,grid5,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,grid5,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2024-01-01,full,2024-01-01,duplicate_rr1,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.50,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.50,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_0.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.75,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_0.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_0.75,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.00,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_1.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.25,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.25,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.25,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_1.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.50,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.50,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_1.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.75,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_1.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_1.75,6800,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_2.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.00,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_2.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.25,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.25,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.25,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_2.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.50,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.50,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_2.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.75,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_2.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_2.75,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.00,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.25,1500,closed_floor,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.25,1500,excursion_floor,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.25,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.50,1500,excursion_floor,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.50,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,rr_3.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,rr_3.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_0.75,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,1500,closed_peak_dd,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_1.75,6800,closed_peak_dd,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_2.75,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,1500,closed_floor,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,1500,excursion_floor,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,1500,excursion_floor,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.50_3.50,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.00,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,1500,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,1500,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,1500,closed_peak_dd,1.0,0.5,2,0.5,0.5,1.0,1.0,1.0,1.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,6800,closed_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,6800,excursion_floor,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
full_2025-01-01,full,2025-01-01,pair_0.75_1.25,6800,closed_peak_dd,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
